,Unnamed: 0,title,abstract,author,journal,year,pdf_link,keyword
0,0,Blow-up analysis for approximate Dirac-harmonic maps in dimension 2 with applications to the Dirac-harmonic heat flow,"Dirac-harmonic maps couple a second order harmonic map type system with a first nonlinear Dirac equation. We consider approximate Dirac-harmonic maps \(\{(\phi _n,\psi _n)\}\), that is, maps that satisfy the Dirac-harmonic system up to controlled error terms. We show that such approximate Dirac-harmonic maps defined on a Riemann surface, that is, in dimension 2, continue to satisfy the basic properties of blow-up analysis like the energy identity and the no neck property. The assumptions are such that they hold for solutions of the heat flow of Dirac-harmonic maps. That flow turns the harmonic map type system into a parabolic system, but simply keeps the Dirac equation as a nonlinear first order constraint along the flow. As a corollary of the main result of this paper, when such a flow blows up at infinite time at interior points, we obtain an energy identity and the no neck property.","Jürgen Jost1, Lei Liu1 & Miaomiao Zhu",Calculus of Variations and Partial Differential Equations,2017,https://link.springer.com/article/10.1007/s00526-017-1202-0,53C43 (58E20)
1,0,On harmonic analysis of causal operators,We follow the group representation theory approach to define causal operators on Banach modules and present some of their spectral properties.,A. G. Baskakov1 & I. A. Krishtal,Functional Analysis and Its Applications,2006,https://link.springer.com/article/10.1007/s10688-006-0006-3,"causal operator,representation of a locally compact Abelian group,Beurling spectrum,causally invertible operator,causal spectrum"
2,0,Harmonic analysis on the infinite-dimensional unitary group,"The goal of harmonic analysis on the infinite-dimensional unitary group is to decompose a certain family of unitary representations of this group, which is a substitute for the nonexisting regular representations and depends on two complex parameters (Olshanski, 2003). In the case of noninteger parameters, the decomposing measure is described in terms of determinantal point processes (Borondin and Olshanski, 2005). The aim of the present paper is to describe the decomposition for integer parameters; in this case, the spectrum of the decompositions changes drastically. A similar result was earlier obtained for the infinite symmetric group (Kerov, Olshanski, and Vershik, 2004), but the case of the unitary group turned out to be much more complicated. In the proof we use Gustafson’s multilateral summation formula for hypergeometric series. Bibliography: 6 titles.",A. A. Osinenko,Journal of Mathematical Sciences,2012,https://link.springer.com/article/10.1007/s10958-012-0722-6,"Harmonic Analysis,Point Process,Symmetric Group,Unitary Representation,Unitary Group"
3,0,Some approximation problems in harmonic analysis,"Consideriamo il seguente problema: determinare quando certe algebre di Banach di funzioni sul toro o sugli interi, che sono generate dai loro idempotenti, contengono sottoalgebre chiuse che non hanno tale proprietà.Consideriamo inoltre altre proprietà speciali che tali sottoalgebre possono possedere.",Gregory F. Bachelis,Rendiconti del Seminario Matematico e Fisico di Milano,1978,https://link.springer.com/article/10.1007/BF02925566,"Banach Algebra,Trigonometric Polynomial,Unconditional Basis,Circle Group,Dirichlet Kernel"
4,0,Symmetry problems in harmonic analysis,"Symmetry problems in harmonic analysis are formulated and solved. One of these problems is equivalent to the refined Schiffer’s conjecture which was recently proved by the author. Let \(k=const>0\) be fixed, \(S^2\) be the unit sphere in \({\mathbb R}^3\), D be a connected bounded domain with \(C^2-\)smooth connected boundary S, \(j_0(r)\) be the spherical Bessel function. The harmonic analysis symmetry problems are stated in the following theorems. Theorem A Assume that \(\int _S e^{ik\beta \cdot s}ds=0\) for all \(\beta \in S^2\). Then S is a sphere of radius a, where \(j_0(ka)=0\). Theorem B Assume that \(\int _D e^{ik\beta \cdot x}dx=0\) for all \(\beta \in S^2\). Then D is a ball.",Alexander G. Ramm,SeMA Journal,2021,https://link.springer.com/article/10.1007/s40324-020-00235-w,Symmetry problem
5,0,Homotopy analysis approach to Duffing-harmonic oscillator,This paper uses the homotopy analysis for the Duffing-harmonic oscillator. The auxiliary parameter in the deformation equation is numerically determined. The response and the frequency of the Duffing-harmonic oscillator are calculated. The analytical results are validated in numerical simulations.,"Shao-dong Feng 
            (冯少东)1 & Li-qun Chen 
            (陈立群)1,",Applied Mathematics and Mechanics,2009,https://link.springer.com/article/10.1007/s10483-009-0902-7,"Duffing-harmonic oscillator,homotopy analysis,approximate solution"
6,0,Analysis method of chaos and sub-harmonic resonance of nonlinear system without small parameters,"The Melnikov method is important for detecting the presence of transverse homoclinic orbits and the occurrence of homoclinic bifurcations. Unfortunately, the traditional Melnikov methods strongly depend on small parameters, which do not exist in most practical systems. Those methods are limited in dealing with the systems with strong nonlinearities. This paper presents a procedure to study the chaos and sub-harmonic resonance of strongly nonlinear practical systems by employing a homotopy method that is used to extend the Melnikov functions to the strongly nonlinear systems. Applied to a given example, the procedure shows the effectiveness via the comparison of the theoretical results and the numerical simulation.","Yan-bin Liu 
            (刘延彬)1, Yu-shu Chen 
            (陈予恕)1 & Qing-jie Cao 
            (曹庆杰)",Applied Mathematics and Mechanics,2011,https://link.springer.com/article/10.1007/s10483-011-1388-x,"homotopy analysis,Melnikov function,chaos,sub-harmonic resonance"
7,0,Asymptotic analysis of the mathematical expectation of the total energy of a harmonic oscillator under random pulse perturbation,We study the behavior of the mathematical expectation of the total energy of a harmonic frictionless oscillator as t → ∞ under external Poisson pulse perturbation.,"H. L. Kulinich1, D. Yu. Kurovs’kyi1 & D. V. Petrusenko",Nonlinear Oscillations,2009,https://link.springer.com/article/10.1007/s11072-010-0079-z,"Total Energy,Phase Velocity,Harmonic Oscillator,Poisson Process,Asymptotic Analysis"
8,0,Integration of a zonal function related to the local harmonic analysis on spheres,"In studying local harmonic analysis on the sphere Sn, R.S. Strichartz introduced certain zonal functions ϕ2(d(x, y)) which satisfy the equation\(\Delta _z \varphi _h \left( {d\left( {x,y} \right)} \right) = \mu \cdot \varphi _h \left( {d\left( {x,y} \right)} \right) + a\left( \lambda \right) \cdot \delta _{ - y} \left( x \right), \mu = \sigma ^2 - \lambda ^2 ,0 = \frac{{n - 1}}{2}\), where Δz is the Laplace operator and δ−y the Dirac measure. The explicit expression of the constant a (λ) is given by R.S. Strichartz in the case that n is odd. Appyling the Apéry identity, we show in this paper that\(a\left( \lambda \right) = \frac{2}{\pi }( - 1)^{\pi + \frac{1}{2}} \cdot \omega _{\pi - 1} \gamma _\pi ^2 \left\{ {\prod\limits_{k = 0}^{\pi - 3/2} {\left( {\lambda ^2 - (k + \frac{1}{2})^2 } \right)^{} } } \right\}^{ - 1} \cdot \cos \left( {\pi \lambda } \right)\) for n even, where wn-1 is the surface area of Sn-1,\(\gamma _n = \left( {n - 2} \right) \cdot \left( {n - 4} \right) \cdots 2\).",Sun Limin,Approximation Theory and its Applications,1996,https://link.springer.com/article/10.1007/BF02836592,"Laplace Operator,Recursion Relation,Legendre Function,Zonal Function,Dirac Measure"
9,0,An application of the Radon Nikodym property in harmonic analysis,Si studia la proprietà di Radon-Nicodym in relazione alle algebreA p.,E. E. Granirer,Rendiconti del Seminario Matematico e Fisico di Milano,1980,https://link.springer.com/article/10.1007/BF02925164,"Extreme Point,Unit Sphere,Compact Group,Banach Algebra,Semidirect Product"
10,0,Harmonic analysis on the infinite-dimensional unitary-symplectic group,The goal of harmonic analysis on the infinite-dimensional unitary-symplectic group is to decompose a certain family of unitary representations of this group that replace the nonexisting regular representation and depend on a complex parameter. The aim of the present paper is to describe the decomposition for an interger parameter. Bibliography: 8 titles.,A. Osinenko,Journal of Mathematical Sciences,2013,https://link.springer.com/article/10.1007/s10958-013-1264-2,"Harmonic Analysis,Unitary Representation,Complex Parameter,Regular Representation"
11,0,Refined analysis of the harmonic vibrations of disk-shaped orthotropic plates,On the basis of the refined three-dimensional theory the article solves the problem of vibrations of a thick orthotropic plate. Expansions according to homogeneous solutions of exponential type are used. The article presents the results of calculations of the stresses on the circumference of a circular and an elliptical disk.,"G. A. Zaika1, A. S. Kosmodamianskii1 & V. I. Storozhev",Journal of Soviet Mathematics,1991,https://link.springer.com/article/10.1007/BF01097457,"Homogeneous Solution,Exponential Type,Harmonic Vibration,Orthotropic Plate,Elliptical Disk"
12,0,Reduced synthesis in harmonic analysis and compact synthesis in operator theory,"The notion of reduced synthesis in the context of harmonic analysis on general locally compact groups is introduced; in the classical situation of commutative groups, this notion means that a function f in the Fourier algebra is annihilated by any pseudofunction supported on f −1(0). A relationship between reduced synthesis and compact synthesis (i.e., the possibility of approximating compact operators by pseudointegral ones without increasing the support) is determined, which makes it possible to obtain new results both in operator theory and in harmonic analysis. Applications to the theory of linear operator equations are also given.","V. S. Shulman1, I. G. Todorov2 & L. Turowska3,",Functional Analysis and Its Applications,2017,https://link.springer.com/article/10.1007/s10688-017-0189-9,"locally compact group,reduced C*-algebra of a locally compact group,Fourier algebra,compact operator,masa-bimodule,linear operator equation"
13,0,A Fortran computer programme for spherical harmonic analysis of geomagnetic field by numerical integration,"A computer program in Fortran IV language for evaluating the spherical harmonic coefficients from grid values of the field componentsX, Y andZ over the surface of a sphere and for separating the harmonic coefficients into ‘internal’ and ‘external’ part is detailed. The method of “Numerical integration” using orthogonality relations of the associated Legendre functions is adopted wherein arbitrary relative weights for observations generally used in the method of “least squares” is eliminated and the derived coefficients are independent of the number of terms retained in the series. The computer program is tested for correctness using the charted values of the field components for two epochs 1945·0 and 1965·0.",G. K. Rangarajan1 & D. R. K. Rao,Proceedings of the Indian Academy of Sciences - Section A,1975,https://link.springer.com/article/10.1007/BF03046733,"Field Component,Legendre Function,Fortran Computer Programme,Orthogonality Relation,Harmonic Coefficient"
14,0,Asymptotic analysis of mathematical expectation of the total energy of a harmonic oscillator perturbed by the “shot-noise”-type process,"We study the behavior, as t → ∞, of the mathematical expectation of the total energy of a harmonic oscillator without friction perturbed by the “shot noise”-type process.",O.D. Stetsyuk,Journal of Mathematical Sciences,2014,https://link.springer.com/article/10.1007/s10958-014-2142-2,"■■■
                
                
                
              "
15,0,Classical harmonic analysis over spaces of complex measures on coset spaces of compact subgroups,This paper presents a classical study for abstract harmonic analysis over spaces of complex measures on coset spaces of compact subgroups in locally compact groups. Let G be a locally compact group and H be a compact subgroup of G. We then study abstract aspects of classical harmonic analysis of complex measures over the left coset space G/H.,A. Ghaani Farashahi,Analysis Mathematica,2017,https://link.springer.com/article/10.1007/s10476-017-0205-6,"Homogeneous space,coset space,compact subgroup,complex measure"
16,0,Practical methods of harmonic analysis for geophysical problems,"The use of a Fourier series in expanding a function into a sum of trigonometric terms, and its application to the problem of resolving a daily variation into its harmonic components are discussed. Various practical methods adopted for the harmonic analysis of a daily variation are reviewed. A new form of analysis of a 12 ordinate scheme is suggested. This is both quicker and easier to handle than the earlier methods. It enables one to evaluate in about 5 minutes the first and the second harmonics from 12 bi-hourly values of a daily variation. Also, with the help of a supplementary chart, the higher harmonics can be evaluated without much extra labour.A similar method of harmonic analysis for a 24 ordinate scheme is suggested.",R. P. Kane,Proceedings of the Indian Academy of Sciences - Section A,1954,https://link.springer.com/article/10.1007/BF03048528,"Harmonic Analysis,Daily Variation,High Harmonic,Harmonic Component,Harmonic Coefficient"
17,0,Harmonic analysis of functions bounded on the right half-axis and increasing on the left,In this paper we observe the variation in the structure of functions with single-point spectrum in spaces of functions bounded on the right half-axis and increasing on the left under change of the weight regulating the growth.,V. P. Gurari,Journal of Soviet Mathematics,1983,https://link.springer.com/article/10.1007/BF01882587,Harmonic Analysis
18,0,The Refined Analysis on the Convergence Behavior of Harmonic Map Sequence from Cylinders,"In this paper, we are concerned with the convergence behavior of a sequence of harmonic maps from long cylinders with uniformly bounded energy. If the bubbling phenomenon does not occur, we give the length formula of the limit map (i.e., geodesic in the target manifold). Furthermore, we provide a geometric explanation of the energy identity for a sequence of harmonic maps from degenerating Riemann surfaces with uniformly bounded energy, proved by M. Zhu.","Li Chen1, Yuxiang Li2 & Youde Wang",Journal of Geometric Analysis,2012,https://link.springer.com/article/10.1007/s12220-011-9222-z,"Harmonic map,Blow up,Geodesic"
19,0,Harmonic Analysis Invariants for Infinite Graphs Via Operators and Algorithms,"We present recent advances in harmonic analysis on infinite graphs. Our approach combines combinatorial tools with new results from the theory of unbounded Hermitian operators in Hilbert space, geometry, boundary constructions, and spectral invariants. We focus on particular classes of infinite graphs, including such weighted graphs which arise in electrical network models, as well as new diagrammatic graph representations. We further stress some direct parallels between our present analysis on infinite graphs, on the one hand, and, on the other, specific areas of potential theory, probability, harmonic functions, and boundary theory. The limit constructions, finite to infinite, and local to global, can be used in various applications.",Sergey Bezuglyi1 & Palle E. T. Jorgensen,Journal of Fourier Analysis and Applications,2021,https://link.springer.com/article/10.1007/s00041-021-09827-0,"Graphs,Boundaries of graphs,Bratteli diagrams,Electrical networks,Graph-Greens function,Graph-Laplacian,Unbounded operators,Hilbert space,Spectral theory,Harmonic analysis,Representation of harmonic functions,Markov operator,Markov process,Finite energy space"
20,0,Asymptotic Boundary Value Problem of Harmonic Maps via Harmonic Boundary,"We prove that given any continuous data f on the harmonic boundary of a complete Riemannian manifold with image within a ball in the normal range, there exists a harmonic map from the manifold into the ball taking the same boundary value at each harmonic boundary point as that of f.",Yong Hah Lee,Potential Analysis,2014,https://link.springer.com/article/10.1007/s11118-013-9377-2,"Harmonic map,Harmonic boundary,Asymptotic boundary value problem"
21,0,On some classes of harmonic functions with nonnegative harmonic majorants in the half-plane,"Some ω-weighted classes of harmonic functions are introduced in the upper half-plane, the representations of these classes are found. A description of the boundary values of the functions from the considered classes is given by means of a notion of ω-capacity on the real axis, which becomes an analog of Frostman’s α-capacity in a particular case.",A. M. Jerbashian1 & J. E. Restrepo,Journal of Contemporary Mathematical Analysis,2016,https://link.springer.com/article/10.3103/S1068362316020047,"Harmonic functions,boundary behavior"
22,0,Computability in Harmonic Analysis,"We study the question of constructive approximation of the harmonic measure \(\omega _x^\varOmega \) of a bounded domain \(\varOmega \) with respect to a point \(x\in \varOmega \). In particular, using a new notion of computable harmonic approximation, we show that for an arbitrary such \(\varOmega \), computability of the harmonic measure \(\omega ^\varOmega _x\) for a single point \(x\in \varOmega \) implies computability of \(\omega _y^\varOmega \) for any  \(y\in \varOmega \). This may require a different algorithm for different points y, which leads us to the construction of surprising natural examples of continuous functions that arise as solutions to a Dirichlet problem, whose values can be computed at any point, but cannot be computed with the use of the same algorithm on all of their domains. We further study the conditions under which the harmonic measure is computable uniformly, that is by a single algorithm, and characterize them for regular domains with computable boundaries.","Ilia Binder1, Adi Glucksam1, Cristobal Rojas2 & …Michael Yampolsky",Foundations of Computational Mathematics,2022,https://link.springer.com/article/10.1007/s10208-021-09524-w,"Harmonic measure,Computable analysis,Piece-wise computable non-computable functions"
23,0,Harmonic analysis on symmetric Stein manifolds from the point of view of complex analysis,The classical theory of finite dimensional representations of compact and complex semisimple Lie groups is discussed from the perspective of multidimensional complex geometry and analysis. The key tool is the complex horospherical transform which establishes a duality between spaces of holomorphic functions on symmetric Stein manifolds and dual horospherical manifolds.,Simon Gindikin,Japanese Journal of Mathematics,2006,https://link.springer.com/article/10.1007/s11537-006-0503-4,"Stein symmetric manifolds,horosphere,horospherical Caushy transform"
24,0,Mathematical theory of signal analysis vs. complex analysis method of harmonic analysis,We present recent work of harmonic and signal analysis based on the complex Hardy space approach.,Tao Qian1 & Li-ming Zhang,Applied Mathematics-A Journal of Chinese Universities,2013,https://link.springer.com/article/10.1007/s11766-013-3225-4,"42A50,32A30,32A35,46J15"
25,0,Compressed sensing from a harmonic analysis point of view,"This paper gives an easy and purely harmonic analysis approach of the compressed sensing theory of Candès, Romberg and Tao. It contains an application to the determination of a lacunary trigonometric series whose sum is known on an interval, and a critical appreciation of this application.",J. -P. Kahane,Analysis Mathematica,2016,https://link.springer.com/article/10.1007/s10476-016-0102-4,"Candès,Romberg,Tao,compressed sensing,harmonic analysis,lacunary series"
26,0,Some Contexts Common for the Number Theory and Harmonic Analysis,"Some contexts common for harmonic analysis and number theory are considered. Elements of harmonic analysis are presented in contexts of Rieman integrals, improper integrals, prime finite fields and finite Abelian groups. Contexts of symmetric properties of functions and theory of measure are considered in brief. Applications of the methods and results from the above contexts to some problems of number theory are given.",N. M. Glazunov1 & Yu. V. Kapitonova,Cybernetics and Systems Analysis,2003,https://link.springer.com/article/10.1023/A%3A1023881311775,"mathematical theory context,trigonometrical sums,Fourier series,Fourier transform,Riemann zeta function integrals,Lebesgue measure"
27,0,Coincidence of Harmonic and Finely Harmonic Functions,This paper answers an old question of Fuglede by characterising those finely open sets U with the following property: any finely harmonic function on U must coincide with a harmonic function on some non-empty finely open subset.,Stephen J. Gardiner,Potential Analysis,2011,https://link.springer.com/article/10.1007/s11118-010-9182-0,"Harmonic function,Fine topology,Finely harmonic function,Baire category"
28,0,Integral Representation of Harmonic Functions Defined Outside a Compact Set in a Harmonic Space,"Given here is an integral representation for any harmonic function u≥0 defined outside a compact set in a Brelot harmonic space Ω with or without positive potentials by means of signed measurers on Ω. This generalizes the Bôcher theorem on positive harmonic singularities in ℜ;n, n≥2.",S. Al Hemedan1 & M. Damlakhi,Potential Analysis,2003,https://link.springer.com/article/10.1023/A%3A1020571803677,"Bôcher theorem,flux"
29,0,Semigroups of measures in non-commutative harmonic analysis,"We find the invariant convolution semigroups of measures on the Heisenberg group which are analogous to the familiar semigroups in the abelian context from modern potential theory, and we show that the abelian theory may be obtained as the limit of the Heisenberg case as Planck's constant tends to zero.",Palle E. T. Jørgensen,Semigroup Forum,1991,https://link.springer.com/article/10.1007/BF02574271,"Symmetric Space,Heisenberg Group,Spherical Function,Definite Function,Positive Definite Function"
30,0,Harmonic analysis on a class of spherical homogeneous spaces,The spectrum of representations of a semisimple algebraic group in spaces of sections of homogeneous linear bundles on a certain class of spherical homogeneous spaces is studied; the algebra of invariant functions on the cotangent bundles of spaces from this class and invariant differential operators are described.,N. E. Gorfinkel’,Mathematical Notes,2011,https://link.springer.com/article/10.1134/S000143461111006X,"semisimple complex algebraic group,irreducible representation,homogenous space,homogeneous linear bundle,spherical homogeneous space,cotangent bundle,invariant differential operator,Borel subgroup,universal enveloping algebra"
31,0,Harmonic analysis on non-semisimple symmetric spaces,"It is proven that theL 2 spectrum for certain non-semisimple, non-nilpotent symmetric spaces is multiplicity-free. The spectrum and spectral measure are computed precisely for symmetric spaces corresponding to non-compact motion groups. Somewhat less complete results on theL 2 spectrum — in both the Mackey Machine and Orbit Method modes — are given for general semidirect product symmetric spaces.",Ronald L. Lipsman,Israel Journal of Mathematics,1986,https://link.springer.com/article/10.1007/BF02764962,"Symmetric Space,Parabolic Subgroup,Nilpotent Group,Semidirect Product,Involutive Automorphism"
32,0,"Harmonic Analysis on SO (n, ℂ)/SO (n−1, ℂ), n≥3","In this article we compute the Plancherel measure for SO(n, ℂ)/SO(n − 1, ℂ) following the approach of Van den Ban. This result is required in order to calculate the explicit decomposition of the oscillator representation wn for the dual pair G = SL(2, ℂ) × SO(n, ℂ) and to prove that every wn(G)-invariant Hilbert subspace of the space of tempered distributions decomposes multiplicity free.",Sofía Aparicio Secanellas,Acta Applicandae Mathematica,2006,https://link.springer.com/article/10.1007/s10440-006-9028-3,"harmonic analysis,invariant Hilbert subspaces,Plancherel formula,complex orthogonal group"
