,title,abstract,author,journal,year,pdf_link,keyword
0,Probability distribution of an integral quadratic functional on the trajectories of a complex-valued Ornstein-Uhlenbeck process,The local limiting theorem for probability distribution density of random values of an additive quadratic functional over the trajectories of the complex-valued Ornstein-Uhlenbeck process is proved. The additive functional support is extended unlimitedly. A guaranteed estimate of the asymptotic formula derived is given.,Yu. P. Virchenko1 & A. S. Mazmanishvili,Cybernetics and Systems Analysis,2004,https://link.springer.com/article/10.1007/s10559-005-0029-4,"random process,quadratic functional,density function,local limiting theorem,estimate of accuracy"
0,On Independence and Determination of Probability Measures,"We show that two probability measures defined on the same measure space having the same pairs of independent events are either purely atomic or equal. In the former case, either measures are trivial (taking values in \(\{0,1\}\)) and singular, or equivalent. We also characterize nonatomic measures having the same events independent of a fixed (nontrivial) event and provide sufficient condition on pairs on independent intervals to determine a probability measure on the real line.",Iddo Ben-Ari,Journal of Theoretical Probability,2015,https://link.springer.com/article/10.1007/s10959-013-0513-0,"Independence,Nonatomic"
0,Toward the History of the Saint Petersburg School of Probability and Statistics. I. Limit Theorems for Sums of Independent Random Variables,"This is the first in a series of reviews devoted to the scientific achievements of the Leningrad–St. Petersburg school of probability and statistics in the period from 1947 to 2017. It is devoted to limit theorems for sums of independent random variables—a traditional subject for St. Petersburg. It refers to the classical limit theorems: the law of large numbers, the central limit theorem, and the law of the iterated logarithm, as well as important relevant problems formulated in the second half of the twentieth century. The latter include the approximation of the distributions of sums of independent variables by infinitely divisible distributions, estimation of the accuracy of strong Gaussian approximation of such sums, and the limit theorems on the weak almost sure convergence of empirical measures generated by sequences of sums of independent random variables and vectors.","M. A. Lifshits3, Ya. Yu. Nikitin3, V. V. Petrov3, A. Yu. Zaitsev1,3 & …A. A. Zinger","Vestnik St. Petersburg University, Mathematics",2018,https://link.springer.com/article/10.3103/S1063454118020115,"sums of independent random variables,central limit theorem,law of large numbers,law of the iterated logarithm,infinitely divisible distributions,concentration functions,Littlewood–Offord problem,empirical measure,almost sure limit theorem"
0,Probability and expectation inequalities,"This paper introduces a mathematical framework within which a wide variety of known and new inequalities can be viewed from a common perspective. Probability and expectation inequalities of the following types are considered: (a)P(ZεA)≧ P(Z′εA) for some class of setsA, (b)ℰk(Z)≧ℰk(Z′) for some class of functionsk, and (c)ℰl(Z)≧ℰk(Z′) for some class of pairs of functionsl andk. It is shown, sometimes using explicit constructions ofZ andZ′, that, in several cases, (a) ⇔ (b) ⇔ (c); included here are cases of normal and elliptically contoured distributions. A case where (a) ⇒ (b) ⇔ (c) is studied and is expressed in terms of“n monotone” functions for (some of) which integral representations are obtained. Also, necessary and sufficient conditions for (c) are given.",Stamatis Cambanis1 & Gordon Simons,Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete,1982,https://link.springer.com/article/10.1007/BF00575522,"Stochastic Process,Probability Theory,Integral Representation,Mathematical Biology,Explicit Construction"
0,Ranking probability measures by inclusion indices in the case of unknown utility function,"This paper gives a way of analyzing decisions in the case of unknown utility function, or more precisely, when we know only a linear order on an income space. It is shown that in this situation, decisions and corresponding probability measures are partially ordered, and this order is identical to the inclusion relation of comonotone fuzzy sets. It enables us to use inclusion indices of fuzzy sets to analyze the comparability of decisions. To do this, we introduce an inclusion index having properties, which are close to ones of the classical expected utility.",A. G. Bronevich1 & I. N. Rozenberg,Fuzzy Optimization and Decision Making,2014,https://link.springer.com/article/10.1007/s10700-013-9169-6,"Decision-making under uncertainty,Utility,Possibility theory,Inclusion index,Comonotone fuzzy sets ,Choquet integral"
0,Lagrange and probability theory,Here we examine very rapidly the contributions of Lagrange to probability and statistics.,Bernard Bru,Lettera Matematica,2014,https://link.springer.com/article/10.1007/s40329-014-0047-z,"Lagrange,Statistics,Probability"
0,Analytic and Asymptotic Properties of Multivariate Generalized Linnik’s Probability Densities,"This paper studies the properties of the probability density function p
α,ν,n(x) of the n-variate generalized Linnik distribution whose characteristic function φ
α,ν,n(t) is given by 
$$\varphi_{\alpha,\nu,n}(\boldsymbol{t})=\frac{1}{(1+\Vert\boldsymbol{t}\Vert^{\alpha})^{\nu}},\quad\alpha\in (0,2],\ \nu>0,\ \boldsymbol{t}\in\mathbb{R}^n,$$ 
where ‖t‖ is the Euclidean norm of t∈ℝn. Integral representations of p
α,ν,n(x) are obtained and used to derive the asymptotic expansions of p
α,ν,n(x) when ‖x‖→0 and ‖x‖→∞ respectively. It is shown that under certain conditions which are arithmetic in nature, p
α,ν,n(x) can be represented in terms of entire functions.",S. C. Lim1 & L. P. Teo,Journal of Fourier Analysis and Applications,2010,https://link.springer.com/article/10.1007/s00041-009-9097-6,"Multivariate generalized Linnik distribution,Characteristic function,Liouville numbers,Entire functions,Asymptotic behavior"
0,Geometric Inference for Probability Measures,"Data often comes in the form of a point cloud sampled from an unknown compact subset of Euclidean space. The general goal of geometric inference is then to recover geometric and topological features (e.g., Betti numbers, normals) of this subset from the approximating point cloud data. It appears that the study of distance functions allows one to address many of these questions successfully. However, one of the main limitations of this framework is that it does not cope well with outliers or with background noise. In this paper, we show how to extend the framework of distance functions to overcome this problem. Replacing compact subsets by measures, we introduce a notion of distance function to a probability distribution in ℝd. These functions share many properties with classical distance functions, which make them suitable for inference purposes. In particular, by considering appropriate level sets of these distance functions, we show that it is possible to reconstruct offsets of sampled shapes with topological guarantees even in the presence of outliers. Moreover, in settings where empirical measures are considered, these functions can be easily evaluated, making them of particular practical interest.","Frédéric Chazal1, David Cohen-Steiner2 & Quentin Mérigot",Foundations of Computational Mathematics,2011,https://link.springer.com/article/10.1007/s10208-011-9098-0,"Geometric inference,Computational topology,Optimal transportation,Nearest neighbor,Surface reconstruction"
0,Probability maximization via Minkowski functionals: convex representations and tractable resolution,"In this paper, we consider the maximizing of the probability \({\mathbb {P}}\left\{ \, \zeta \, \mid \, \zeta \, \in \, {\mathbf {K}}({\mathbf {x}}) \, \right\} \) over a closed and convex set \({\mathcal {X}}\), a special case of the chance-constrained optimization problem. Suppose \({\mathbf {K}}({\mathbf {x}}) \, \triangleq \, \left\{ \, \zeta \, \in \, {\mathcal {K}}\, \mid \, c({\mathbf {x}},\zeta ) \, \ge \, 0 \right\} \), and \(\zeta \) is uniformly distributed on a convex and compact set \({\mathcal {K}}\) and \(c({\mathbf {x}},\zeta )\) is defined as either \(c({\mathbf {x}},\zeta )\, \triangleq \, 1-\left| \zeta ^T{\mathbf {x}}\right| ^m\) where \(m\ge 0\) (Setting A) or \(c({\mathbf {x}},\zeta ) \, \triangleq \, T{\mathbf {x}}\, - \, \zeta \) (Setting B). We show that in either setting, by leveraging recent findings in the context of non-Gaussian integrals of positively homogenous functions, \({\mathbb {P}}\left\{ \,\zeta \, \mid \, \zeta \, \in \, {\mathbf {K}}({\mathbf {x}}) \, \right\} \) can be expressed as the expectation of a suitably defined continuous function \(F(\bullet ,\xi )\) with respect to an appropriately defined Gaussian density (or its variant), i.e. \({\mathbb {E}}_{{{\tilde{p}}}} \left[ \, F({\mathbf {x}},\xi )\, \right] \). Aided by a recent observation in convex analysis, we then develop a convex representation of the original problem requiring the minimization of \(g\left( {\mathbb {E}}\left[ \, F(\bullet ,\xi )\, \right] \right) \) over \({\mathcal {X}}\), where g is an appropriately defined smooth convex function. Traditional stochastic approximation schemes cannot contend with the minimization of \(g\left( {\mathbb {E}}\left[ F(\bullet ,\xi )\right] \right) \) over \(\mathcal X\), since conditionally unbiased sampled gradients are unavailable. We then develop a regularized variance-reduced stochastic approximation (r-VRSA) scheme that obviates the need for such unbiasedness by combining iterative regularization with variance-reduction. Notably, (r-VRSA) is characterized by almost-sure convergence guarantees, a convergence rate of \(\mathcal {O}(1/k^{1/2-a})\) in expected sub-optimality where \(a > 0\), and a sample complexity of \(\mathcal {O}(1/\epsilon ^{6+\delta })\) where \(\delta > 0\). To the best of our knowledge, this may be the first such scheme for probability maximization problems with convergence and rate guarantees. Preliminary numerics on a portfolio selection problem (Setting A) and a set-covering problem (Setting B) suggest that the scheme competes well with naive mini-batch SA schemes as well as integer programming approximation methods.","I. E. Bardakci1, A. Jalilzadeh 
            ORCID: orcid.org/0000-0002-3734-10822, C. Lagoa 
            ORCID: orcid.org/0000-0001-6871-32403 & …U. V. Shanbhag 
            ORCID: orcid.org/0000-0001-5869-9561",Mathematical Programming,2022,https://link.springer.com/article/10.1007/s10107-022-01859-8,"Chance constraints,Stochastic optimization"
0,Random fixed point theorems in Banach spaces applied to a random nonlinear integral equation of the Hammerstein type,"The purpose of this paper is to define a new random operator called the generalized ϕ-weakly contraction of the rational type. This new random operator includes those studied by Khan et al. (Filomat 31(12):3611–3626, 2017) and Zhang et al. (Appl. Math. Mech. 32(6):805–810, 2011) as special cases. We prove some convergence, existence, and stability results in separable Banach spaces. Moreover, we produce some numerical examples to demonstrate the applicability of our analytical results. Furthermore, we apply our results in proving the existence of a solution of a nonlinear integral equation of the Hammerstein type.","Godwin Amechi Okeke1, Sheila Amina Bishop2 & Hudson Akewe",Fixed Point Theory and Applications,2019,https://link.springer.com/article/10.1186/s13663-019-0665-4,"47H09,47H10,49M05,54H25"
