,title,abstract,author,journal,year,pdf_link,keyword
0,Regularity of nonlinear flows on noncompact Riemannian manifolds: Differential geometry versus stochastic geometry or what kind of variations is natural?,"It is shown that the geometrically correct investigation of regularity of nonlinear differential flows on manifolds and related parabolic equations requires the introduction of a new type of variations with respect to the initial data. These variations are defined via a certain generalization of a covariant Riemannian derivative to the case of diffeomorphisms. The appearance of curvature in the structure of high-order variational equations is discussed and a family of a priori nonlinear estimates of regularity of any order is obtained. By using the relationship between the differential equations on manifolds and semigroups, we study C
∞-regular properties of solutions of the parabolic Cauchy problems with coefficients increasing at infinity. The obtained conditions of regularity generalize the classical coercivity and dissipation conditions to the case of a manifold and correlate (in a unified way) the behavior of diffusion and drift coefficients with the geometric properties of the manifold without traditional separation of curvature.",A. Val. Antonyuk1 & A. Vik. Antonyuk,Ukrainian Mathematical Journal,2006,https://link.springer.com/article/10.1007/s11253-006-0126-1,"RIEMANNIAN Manifold,Covariant Derivative,Variational Equation,Nonlinear Estimate,Coordinate Change"
1,Mechanical theorem proving in differential geometry,"An automated reasoning method, based on Wu’s method and calculus of differential forms, is proposed for mechanical theorem proving in local theory of space surfaces in differential geometry. The method has been used to simplify one of Chem’s theorems: “The non-trivial families of isometric surfaces having the same principal curvatures are W-surfaces.” Some other theorems are also tested by this method. The proofs are generally simpler than those in differential geometry textbooks.",Hongbo Li,Science in China Series A: Mathematics,1997,https://link.springer.com/article/10.1007/BF02911434,"Wu’s method,differential forms,Chern’s theorem"
2,Ordering in automated theorem proving of differential geometry,"A new ordering method is proposed for automated theorem proving of differential geometry, by which Cartan's moving frame method can be combined with Wu's elimination principle.",Li Hongbo1 & Cheng Minteh,Acta Mathematicae Applicatae Sinica,1998,https://link.springer.com/article/10.1007/BF02683818,"Wu”s method,ordering"
3,Interactions between mechanics and differential geometry in the 19th century,"79. This study of the interaction between mechanics and differential geometry does not pretend to be exhaustive. In particular, there is probably more to be said about the mathematical side of the history from Darboux to Ricci and Levi Civita and beyond. Statistical mechanics may also be of interest and there is definitely more to be said about Hertz (I plan to continue in this direction) and about Poincaré's geometric and topological reasonings for example about the three body problem [Poincaré 1890] (cf. also [Poincaré 1993], [Andersson 1994] and [Barrow-Green 1994]). Moreover, it would be interesting to find out how the 19th century ideas discussed here influenced the developments in the 20th century. Einstein himself is a hotly debated case.Yet, despite these shortcommings, I hope that this paper has shown that the interactions between mechanics and differential geometry is not a 20th century invention. Klein's view (see my Introduction) that Riemannian geometry grew out of mechanics, more specifically the principle of least action, cannot be maintained. On the other hand, when Riemannian geometry became known around 1870 it was immediately used in mechanics by Lipschitz. He began a continued tradition in this field, which had several elements in common with the new view of mechanics conceived by the physicists and explicitly carried out by Hertz.Before 1870 we found only scattered interactions between differential geometry and mechanics and only direct ones for systems of two or three degrees of freedom. For more degrees of freedom the geometrical ideas were in some interesting cases taken over by analogy, but these analogies did not lead to formal introduction of geometries of more than three dimensions.",Jesper Lützen,Archive for History of Exact Sciences,1995,https://link.springer.com/article/10.1007/BF00374699,"19th Century,Statistical Mechanic,Differential Geometry,Interesting Case,Century Idea"
4,Supermanifolds and sequences of computable structures: a link via a nonstandard extension of differential geometry,"Using a generalized theory of manifolds, based on the ideas and techniques of nonstandard analysis, a link is established between sequences of computable structures converging to a classical manifold and certain manifold-like structures involving anticommuting variables. The supermanifolds appearing here may be interpreted as a kind of representation of sequences of computable structures.",Karl-Georg Schlesinger1 nAff,Rendiconti del Circolo Matematico di Palermo,1999,https://link.springer.com/article/10.1007/BF02844345,"Computable Structure,Nonstandard Analysis,Compatibility Relation,Internal Approach,Generalize Manifold"
5,Regularity of nonlinear flows on noncompact Riemannian manifolds: Differential geometry versus stochastic geometry or what kind of variations is natural?,"It is shown that the geometrically correct investigation of regularity of nonlinear differential flows on manifolds and related parabolic equations requires the introduction of a new type of variations with respect to the initial data. These variations are defined via a certain generalization of a covariant Riemannian derivative to the case of diffeomorphisms. The appearance of curvature in the structure of high-order variational equations is discussed and a family of a priori nonlinear estimates of regularity of any order is obtained. By using the relationship between the differential equations on manifolds and semigroups, we study C
∞-regular properties of solutions of the parabolic Cauchy problems with coefficients increasing at infinity. The obtained conditions of regularity generalize the classical coercivity and dissipation conditions to the case of a manifold and correlate (in a unified way) the behavior of diffusion and drift coefficients with the geometric properties of the manifold without traditional separation of curvature.",A. Val. Antonyuk1 & A. Vik. Antonyuk,Ukrainian Mathematical Journal,2006,https://link.springer.com/article/10.1007/s11253-006-0126-1,"RIEMANNIAN Manifold,Covariant Derivative,Variational Equation,Nonlinear Estimate,Coordinate Change"
6,Mechanical theorem proving in differential geometry,"An automated reasoning method, based on Wu’s method and calculus of differential forms, is proposed for mechanical theorem proving in local theory of space surfaces in differential geometry. The method has been used to simplify one of Chem’s theorems: “The non-trivial families of isometric surfaces having the same principal curvatures are W-surfaces.” Some other theorems are also tested by this method. The proofs are generally simpler than those in differential geometry textbooks.",Hongbo Li,Science in China Series A: Mathematics,1997,https://link.springer.com/article/10.1007/BF02911434,"Wu’s method,differential forms,Chern’s theorem"
7,Ordering in automated theorem proving of differential geometry,"A new ordering method is proposed for automated theorem proving of differential geometry, by which Cartan's moving frame method can be combined with Wu's elimination principle.",Li Hongbo1 & Cheng Minteh,Acta Mathematicae Applicatae Sinica,1998,https://link.springer.com/article/10.1007/BF02683818,"Wu”s method,ordering"
8,Interactions between mechanics and differential geometry in the 19th century,"79. This study of the interaction between mechanics and differential geometry does not pretend to be exhaustive. In particular, there is probably more to be said about the mathematical side of the history from Darboux to Ricci and Levi Civita and beyond. Statistical mechanics may also be of interest and there is definitely more to be said about Hertz (I plan to continue in this direction) and about Poincaré's geometric and topological reasonings for example about the three body problem [Poincaré 1890] (cf. also [Poincaré 1993], [Andersson 1994] and [Barrow-Green 1994]). Moreover, it would be interesting to find out how the 19th century ideas discussed here influenced the developments in the 20th century. Einstein himself is a hotly debated case.Yet, despite these shortcommings, I hope that this paper has shown that the interactions between mechanics and differential geometry is not a 20th century invention. Klein's view (see my Introduction) that Riemannian geometry grew out of mechanics, more specifically the principle of least action, cannot be maintained. On the other hand, when Riemannian geometry became known around 1870 it was immediately used in mechanics by Lipschitz. He began a continued tradition in this field, which had several elements in common with the new view of mechanics conceived by the physicists and explicitly carried out by Hertz.Before 1870 we found only scattered interactions between differential geometry and mechanics and only direct ones for systems of two or three degrees of freedom. For more degrees of freedom the geometrical ideas were in some interesting cases taken over by analogy, but these analogies did not lead to formal introduction of geometries of more than three dimensions.",Jesper Lützen,Archive for History of Exact Sciences,1995,https://link.springer.com/article/10.1007/BF00374699,"19th Century,Statistical Mechanic,Differential Geometry,Interesting Case,Century Idea"
9,Supermanifolds and sequences of computable structures: a link via a nonstandard extension of differential geometry,"Using a generalized theory of manifolds, based on the ideas and techniques of nonstandard analysis, a link is established between sequences of computable structures converging to a classical manifold and certain manifold-like structures involving anticommuting variables. The supermanifolds appearing here may be interpreted as a kind of representation of sequences of computable structures.",Karl-Georg Schlesinger1 nAff,Rendiconti del Circolo Matematico di Palermo,1999,https://link.springer.com/article/10.1007/BF02844345,"Computable Structure,Nonstandard Analysis,Compatibility Relation,Internal Approach,Generalize Manifold"
