,title,abstract,author,journal,year,pdf_link,keyword
0,The Probabilistic Point of View on the Generalized Fractional Partial Differential Equations,"This paper aims at unifying and clarifying the recent advances in the analysis of the fractional and generalized fractional Partial Differential Equations of Caputo and Riemann-Liouville type arising essentially from the probabilistic point of view. This point of view leads to the path integral representation for the solutions of these equations, which is seen to be stable with respect to the initial data and key parameters and is directly amenable to numeric calculations (Monte-Carlo simulation). In many cases these solutions can be compactly presented via the wide class of operatorvalued analytic functions of the Mittag-Leffler type, which are proved to be expressed as the Laplace transforms of the exit times of monotone Markov processes.",Vassili N. Kolokoltsov,Fractional Calculus and Applied Analysis,2019,https://link.springer.com/article/10.1515/fca-2019-0033,"34A08,35S05,35S11,35S15,60J25,60J35,60J50,60J75"
0,On the Convergence of Formal Solutions of a System of Partial Differential Equations,"We study a version of the classical problem on the convergence of formal solutions of systems of partial differential equations. A necessary and sufficient condition for the convergence of a given formal solution (found by any method) is proved. This convergence criterion applies to systems of partial differential equations (possibly, nonlinear) solved for the highest-order derivatives or, which is most important, “almost solved for the highest-order derivatives.”","S. P. Chulkov1,",Functional Analysis and Its Applications,2005,https://link.springer.com/article/10.1007/s10688-005-0040-6,"systems of partial differential equations,convergence of formal solutions,ordered semigroup ℤ
n⩾0

,system of partial differential equations solved for the highest-order derivatives,system of partial differential equations “almost solved for the highest-order derivatives”"
0,Normal Forms for Equivariant Differential Equations,"We show that if the equation \(x'=A(t) x + f(t,x)\) is equivariant (respectively, reversible), then any normal form as well as the coordinate change taking the original equation to the normal form have equivariance (respectively, reversibility) properties. The proof depends on writing down somewhat explicit coordinate changes based on the block diagonalization of the linear part so that each block corresponds to a connected component of the nonuniform spectrum.
","Luis Barreira 
            ORCID: orcid.org/0000-0003-4655-57921 & Claudia Valls",Journal of Dynamics and Differential Equations,2022,https://link.springer.com/article/10.1007/s10884-021-10006-4,"Nonuniform hyperbolicity,Spectrum,Normal forms"
0,Stochastic Control for Mean-Field Stochastic Partial Differential Equations with Jumps,"We study optimal control for mean-field stochastic partial differential equations (stochastic evolution equations) driven by a Brownian motion and an independent Poisson random measure, in case of partial information control. One important novelty of our problem is represented by the introduction of general mean-field operators, acting on both the controlled state process and the control process. We first formulate a sufficient and a necessary maximum principle for this type of control. We then prove the existence and uniqueness of the solution of such general forward and backward mean-field stochastic partial differential equations. We apply our results to find the explicit optimal control for an optimal harvesting problem.","Roxana Dumitrescu1, Bernt Øksendal2 & Agnès Sulem",Journal of Optimization Theory and Applications,2018,https://link.springer.com/article/10.1007/s10957-018-1243-3,"Mean-field stochastic partial differential equation,Optimal control,Mean-field backward stochastic partial differential equation,Stochastic maximum principles"
0,Using a cubic B-spline method in conjunction with a one-step optimized hybrid block approach to solve nonlinear partial differential equations,"In this paper, we develop an optimized hybrid block method which is combined with a modified cubic B-spline method, for solving non-linear partial differential equations. In particular, it will be applied for solving three well-known problems, namely, the Burgers equation, Buckmaster equation and FitzHugh–Nagumo equation. Most of the developed methods in the literature for non-linear partial differential equations have not focused on optimizing the time step-size and a very small value must be considered to get accurate approximations. The motivation behind the development of this work is to overcome this trade-off up to much extent using a larger time step-size without compromising accuracy. The optimized hybrid block method considered is proved to be A-stable and convergent. Furthermore, the obtained numerical approximations have been compared with exact and numerical solutions available in the literature and found to be adequate. In particular, without using quasilinearization or filtering techniques, the results for small viscosity coefficient for Burgers equation are found to be accurate. We have found that the combination of the two considered methods is computationally efficient for solving non-linear PDEs.","Higinio Ramos 
            ORCID: orcid.org/0000-0003-2791-62301,4, Anurag Kaur2 & V. Kanwar",Computational and Applied Mathematics,2022,https://link.springer.com/article/10.1007/s40314-021-01729-7,"Modified cubic B-splines,Hybrid block method,Non-linear PDE,Numerical solution"
0,A New Spline-in-Tension Method of O(\(k^{2}+h^{4})\) Based on Off-step Grid Points for the Solution of 1D Quasi-linear Hyperbolic Partial Differential Equations in Vector Form,"In this paper, we propose a new three level implicit method based on half-step spline in tension method of order two in time and four in space for the solution of one-space dimensional quasi-linear hyperbolic partial differential equation of the form \(w_{tt}=K(x,t,w)w_{xx} + {\varphi }(x,t,w,w_{x},w_{t})\). We describe spline in tension approximations and its properties using two half-step grid points. The new method for one dimensional quasi-linear hyperbolic equation is obtained directly from the consistency condition. In this method we use three grid points for the unknown function w(x, t) and two half-step points for the known variable ‘x’ in x-direction. The proposed method when applied to Telegraphic equation is shown to be unconditionally stable. Further, the stability condition for 1-D linear hyperbolic equation with variable coefficients is established. Our method is directly applicable to hyperbolic equations irrespective of the coordinate system which is the main advantage of our work. The proposed method for scalar equation is extended to solve the system of quasi-linear hyperbolic equations. To assess the validity and accuracy, the proposed method is applied to solve several benchmark problems and numerical computations are provided to demonstrate the effectualness of the method.",R. K. Mohanty1 & Gunjan Khurana1 nAff,Differential Equations and Dynamical Systems,2019,https://link.springer.com/article/10.1007/s12591-017-0391-5,"Spline in tension approximations,Quasi-linear hyperbolic equations,Half-step grid points,Telegraphic equation,Unconditionally stable,Maximum absolute errors"
0,A novel Elzaki transform homotopy perturbation method for solving time-fractional non-linear partial differential equations,"This paper presents the solution of important types of non-linear time-fractional partial differential equations via the conformable Elzaki transform Homotopy perturbation method. We apply the proposed technique to solve four types of non-linear time-fractional partial differential equations. In addition, we establish the results on the uniqueness and convergence of the solution. Finally, the numerical results for a variety of α values are briefly examined. The proposed method performs well in terms of simplicity and efficiency.","Sajad Iqbal1, Francisco Martínez2, Mohammed K. A. Kaabar 
            ORCID: orcid.org/0000-0003-2260-03413,4 & …Mohammad Esmael Samei 
            ORCID: orcid.org/0000-0002-5450-3127",Boundary Value Problems,2022,https://link.springer.com/article/10.1186/s13661-022-01673-3,"34A08,26A33,34A34"
0,Operator compact exponential approximation for the solution of the system of 2D second order quasilinear elliptic partial differential equations,"In this paper, we suggest a new exponential implicit method based on full step discretization of order four for the solution of quasilinear elliptic partial differential equation of the form \(A ( x,y,z ) z_{xx} +C ( x,y,z ) z_{yy} =k ( x,y,z, z_{x}, z_{y} )\), \(0< x,y<1\). In this method a single compact cell consisting of nine nodal points is used. Convergence analysis of the said method is discussed in detail. The developed method is successfully applied to solving problems in polar coordinates. The method for scalar equation is eventually applied to solving the system of quasilinear elliptic equations. To measure the rationality and precision, the method is applied to solving several noteworthy problems and numerical results are provided to exhibit the effectiveness of the method.","R. K. Mohanty1, Geetan Manchanda2 nAff3 & Arshad Khan",Advances in Difference Equations,2019,https://link.springer.com/article/10.1186/s13662-019-1968-9,"65N06,65N12"
0,Backward doubly stochastic differential equations with jumps and stochastic partial differential-integral equations,"Backward doubly stochastic differential equations driven by Brownian motions and Poisson process (BDSDEP) with non-Lipschitz coefficients on random time interval are studied. The probabilistic interpretation for the solutions to a class of quasilinear stochastic partial differential-integral equations (SPDIEs) is treated with BDSDEP. Under non-Lipschitz conditions, the existence and uniqueness results for measurable solutions to BDSDEP are established via the smoothing technique. Then, the continuous dependence for solutions to BDSDEP is derived. Finally, the probabilistic interpretation for the solutions to a class of quasilinear SPDIEs is given.","Qingfeng Zhu1,2 & Yufeng Shi1,","Chinese Annals of Mathematics, Series B",2012,https://link.springer.com/article/10.1007/s11401-011-0686-8,"Backward doubly stochastic differential equations,Stochastic partial differential-integral equations,Random measure,Poisson process"
0,Non-zero sum differential games of anticipated forward-backward stochastic differential delayed equations under partial information and application,"This paper is concerned with a non-zero sum differential game problem of an anticipated forward-backward stochastic differential delayed equation under partial information. We establish a maximum principle and a verification theorem for the Nash equilibrium point by virtue of the duality and convex variation approach. We study a linear-quadratic system under partial information and present an explicit form of the Nash equilibrium point. We derive the filtering equations and prove the existence and uniqueness for the Nash equilibrium point. As an application, we solve a time-delayed pension fund management problem with nonlinear expectation to measure the risk and obtain the explicit solution.","Yi Zhuang 
            ORCID: orcid.org/0000-0002-7605-8968",Advances in Difference Equations,2017,https://link.springer.com/article/10.1186/s13662-017-1438-1,"93E20,34K50,93A23,93E11"
