,title,abstract,author,journal,year,pdf_link,keyword
0,Small Delay Inertial Manifolds Under Numerics: A Numerical Structural Stability Result,"In this paper we formulate a numerical structural stability result for delay equations with small delay under Euler discretization. The main ingredients of our approach are the existence and smoothness of small delay inertial manifolds, the C
1-closeness of the small delay inertial manifolds and their numerical approximation and M.-C. Li's recent result on numerical structural stability of ordinary differential equations under the Euler method.",Gyula Farkas,Journal of Dynamics and Differential Equations,2002,https://link.springer.com/article/10.1023/A%3A1016335115301,"Delay equations,small delay inertial manifolds,smoothness,
C
1-estimates,Euler method,numerical structural stability"
1,Poisson–Nernst–Planck Systems for Ion Flow with Density Functional Theory for Hard-Sphere Potential: I–V Relations and Critical Potentials. Part II: Numerics,"We consider a one-dimensional steady-state Poisson–Nernst–Planck type model for ionic flow through membrane channels. Improving the classical Poisson–Nernst–Planck models where ion species are treated as point charges, this model includes ionic interaction due to finite sizes of ion species modeled by hard sphere potential from the Density Functional Theory. The resulting problem is a singularly perturbed boundary value problem of an integro-differential system. We examine the problem and investigate the ion size effect on the current–voltage (I–V) relations numerically, focusing on the case where two oppositely charged ion species are involved and only the hard sphere components of the excess chemical potentials are included. Two numerical tasks are conducted. The first one is a numerical approach of solving the boundary value problem and obtaining I–V curves. This is accomplished through a numerical implementation of the analytical strategy introduced by Ji and Liu in [Poisson–Nernst–Planck systems for ion flow with density functional theory for hard-sphere potential: I–V relations and critical potentials. Part I: Analysis, J. Dyn. Differ. Equ. (to appear)]. The second task is to numerically detect two critical potential values V

c
 and V
c.The existence of these two critical values is first realized for a relatively simple setting and analytical approximations of V

c
 and V
c are obtained in the above mentioned reference. We propose an algorithm for numerical detection of V

c
 and V
c
without using any analytical formulas but based on the defining properties and numerical I–V curves directly. For the setting in the above mentioned reference, our numerical values for V

c
 and V
c agree well with the analytical predictions. For a setting including a nonzero permanent charge in which case no analytic formula for the I–V relation is available now, our algorithms can still be applied to find V

c
 and V
c numerically.","Weishi Liu1, Xuemin Tu1 & Mingji Zhang",Journal of Dynamics and Differential Equations,2012,https://link.springer.com/article/10.1007/s10884-012-9278-x,"Ion flow,PNP–DFT,Hard-sphere,I–V relation,Critical potentials"
2,A Stochastic Version of the Jansen and Rit Neural Mass Model: Analysis and Numerics,"Neural mass models provide a useful framework for modelling mesoscopic neural dynamics and in this article we consider the Jansen and Rit neural mass model (JR-NMM). We formulate a stochastic version of it which arises by incorporating random input and has the structure of a damped stochastic Hamiltonian system with nonlinear displacement. We then investigate path properties and moment bounds of the model. Moreover, we study the asymptotic behaviour of the model and provide long-time stability results by establishing the geometric ergodicity of the system, which means that the system—independently of the initial values—always converges to an invariant measure. In the last part, we simulate the stochastic JR-NMM by an efficient numerical scheme based on a splitting approach which preserves the qualitative behaviour of the solution.","Markus Ableidinger1, Evelyn Buckwar1 & Harald Hinterleitner",The Journal of Mathematical Neuroscience,2017,https://link.springer.com/article/10.1186/s13408-017-0046-4,"Jansen and Rit neural mass model,Stochastic Hamiltonian system,Asymptotic behaviour,Stochastic splitting schemes"
3,Mathematics and Numerics for Balance Partial Differential-Algebraic Equations (PDAEs),"We study systems of partial differential-algebraic equations (PDAEs) of first order. Classical solutions of the theory of hyperbolic partial differential equation such as discontinuities (shock and contact discontinuities), rarefactions and diffusive traveling waves are extended for variables living on a surface \(\mathcal {S}\), which is defined as solution of a set of algebraic equations. We propose here an alternative formulation to study numerically and theoretically the PDAEs by changing the algebraic conditions into partial differential equations with relaxation source terms (PDREs). The solution of such relaxed systems is proved to tend to the surface \(\mathcal {S}\), i.e., to satisfy the algebraic equations for long times. We formulate a unified numerical scheme for systems of PDAEs and PDREs. This scheme is naturally parallelizable and has faster convergence. We do not perform a rigorous analysis about the convergence or accuracy for the method, the evidence of its effectiveness is presented by means of simulations for physical and synthetical problems.","Wanderson Lambert 
            ORCID: orcid.org/0000-0002-5175-03251, Amaury Alvarez2, Ismael Ledoino3, Duilio Tadeu4, Dan Marchesin5 & …Johannes Bruining",Journal of Scientific Computing,2020,https://link.springer.com/article/10.1007/s10915-020-01279-w,"Partial differential-algebraic equations (PDAEs),Hyperbolic system of equations,Riemann problems,Parallelizable numerical schemes"
4,"Micro-macro models for viscoelastic fluids: modelling, mathematics and numerics","This paper is an introduction to the modelling of viscoelastic fluids, with an emphasis on micromacro (or multiscale) models. Some elements of mathematical and numerical analysis are provided. These notes closely follow the lectures delivered by the second author at the Chinese Academy of Science during the Workshop “Stress Tensor Effects on Fluid Mechanics” in January 2010.","Claude Le Bris1,2 & Tony Lelièvre1,",Science China Mathematics,2012,https://link.springer.com/article/10.1007/s11425-011-4354-y,"viscoelastic fluids,micro-macro models,entropy methods,Monte Carlo methods"
5,Dynamical analysis and consistent numerics for a delay model of viral infection in phytoplankton population,"In this article, the effects of time delay and carrying capacity in the dynamics of viral phytoplankton and consistence numerics are studied. Basic properties and stabilities of equilibria are rigorously analyzed and conditions for stability switches are found. A dynamically consistent nonstandard finite difference scheme for the continuous delay model is designed to verify the results and reveal some interesting features of the model. Some ecological implications and interpretations are provided.","A. S. Hassan1,",Afrika Matematika,2018,https://link.springer.com/article/10.1007/s13370-017-0541-5,"Phytoplankton,Delay,Stability switches,Nonstandard finite difference scheme"
6,On a front evolution in porous media with a source–analysis and numerics,"We analyze evolution of the interface between immiscible fluids of different densities in porous media. The fluids can be compressible (CO
2 or natural gases) or incompressible (oil, water). We rigorously prove that, if the heavier fluid is on the top and there are no sink or source, a tip of the interface will move in the direction of the gravity (if the tip is directed toward the bottom) or the buoyancy (if the tip is directed toward the top).We also showhowthe sink/source influence propagation of the interface and provide numerical examples.","Maroje Marohnić1, Darko Mitrović1,2 & Andrej Novak","Bulletin of the Brazilian Mathematical Society, New Series",2016,https://link.springer.com/article/10.1007/s00574-016-0166-6,"Darcy law,immiscible fluids,interface dynamics"
7,Rigorous numerics for localized patterns to the quintic Swift-Hohenberg equation,"Localized patterns of the quintic Swift-Hohenberg equation are studied by bifurcation analysis and rigorous numerics. First of all, fundamental bifurcation structures around the trivial solution are investigated by a weak nonlinear analysis based on the center manifold theory. Then bifurcation structures with large amplitude are studied on Galerkin approximated dynamical systems, and a relationship between snaky branch structures of saddle-node bifurcations and localized patterns is discussed. Finally, a topological numerical verification technique proves the existence of several localized patterns as an original infinite dimensional problem, which are beyond the local analysis.",Yasuaki Hiraoka1 & Toshiyuki Ogawa,Japan Journal of Industrial and Applied Mathematics,2005,https://link.springer.com/article/10.1007/BF03167476,"quintic Swift-Hohenberg equation,localized patterns,snaky bifurcation structure,rigorous numerics,Conley index"
8,A \(\varvec{2\times 2}\) hyperbolic system modelling incompressible two phase flows: theory and numerics,"We propose a \(2\times 2\) hyperbolic system of conservation laws to model the dynamics of two incompressible fluids in mechanical disequilibrium. In the theoretical part of the paper we show that this 1D system is not strictly hyperbolic, that the characteristic speed can not a priori be ordered and that the characteristic fields are neither genuinely nonlinear, nor linearly degenerate. We nevertheless prove the existence and uniqueness of an admissible solution to the Riemann problem. This solution remains bounded with positive volume fractions even when one the phases vanishes. We conclude that the multiphase/single phase transition does not imply mechanical equilibrium but displays a non classical wave structure. In the numerical part of the paper we propose some approximate Riemann solvers to simulate the model, especially the multiphase/single phase transition. The classical Riemann solvers have been considered as Godunov scheme, Roe scheme with or without entropy fix. We also propose an in-cell discontinuous reconstruction method which proves to be successful, whereas the other schemes may show some spurious oscillations in some Riemann problem. Finally, as an application we study and simulate the problem of phase separation by gravity.","M. Ndjinga1, T. P. K. Nguyen1,2 & C. Chalons",Nonlinear Differential Equations and Applications NoDEA,2017,https://link.springer.com/article/10.1007/s00030-017-0458-6,"35L65,35L67,35Q35,35D30,65M08,76T10"
9,"Eigenvalues and delay differential equations: periodic coefficients, impulses and rigorous numerics","We develop validated numerical methods for the computation of Floquet multipliers of equilibria and periodic solutions of delay differential equations, as well as impulsive delay differential equations. Using our methods, one can rigorously count the number of Floquet multipliers outside a closed disc centered at zero or the number of multipliers contained in a compact set bounded away from zero. We consider systems with a single delay where the period is at most equal to the delay, and the latter two are commensurate. We first represent the monodromy operator (period map) as an operator acting on a product of sequence spaces that represent the Chebyshev coefficients of the state-space vectors. Truncation of the number of modes yields the numerical method, and by carefully bounding the truncation error in addition to some other technical operator norms, this leads to the method being suitable to computer-assisted proofs of Floquet multiplier location. We demonstrate the computer-assisted proofs on two example problems. We also test our discretization scheme in floating point arithmetic on a gamut of randomly-generated high-dimensional examples with both periodic and constant coefficients to inspect the precision of the spectral radius estimation of the monodromy operator (i.e. stability/instability check for periodic systems) for increasing numbers of Chebyshev modes.","Kevin E. M. Church 
            ORCID: orcid.org/0000-0001-8996-0726",Journal of Dynamics and Differential Equations,2021,https://link.springer.com/article/10.1007/s10884-020-09900-0,"Impulsive delay differential equations,Floquet multipliers,Chebyshev series,Rigorous numerics,Computer-assisted proofs"
