,title,abstract,author,journal,year,pdf_link,keyword
0,Tests of significance in harmonic analysis,,"RA Fisher - Proceedings of the Royal Society of London …, 1929",royalsocietypublishing,.org,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.1929.0151,
0,Spectrum estimation and harmonic analysis,,"DJ Thomson - Proceedings of the IEEE, 1982",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1456701/,
0,Generalized harmonic analysis,,"N Wiener - Acta mathematica, 1930",Spri,nger,https://link.springer.com/article/10.1007/BF02546511,
0,"Review of harmonic analysis, modeling and mitigation techniques",,"A Kalair, N Abas, AR Kalair, Z Saleem… - … and Sustainable Energy …, 2017",Else,vier,https://www.sciencedirect.com/science/article/pii/S1364032117306226,
0,Harmonic analysis on hyperboloids,,"RS Strichartz - Journal of Functional Analysis, 1973",Else,vier,https://www.sciencedirect.com/science/article/pii/0022123673900013,
0,"Harmonic Analysis in Phase Space.(AM-122), Volume 122",,"GB Folland - Harmonic Analysis in Phase Space.(AM-122), Volume …, 2016",degruyter,.com,https://www.degruyter.com/document/doi/10.1515/9781400882427/html,
0,Harmonic analysis of neural networks,,"EJ Candès - Applied and Computational Harmonic Analysis, 1999",Else,vier,https://www.sciencedirect.com/science/article/pii/S1063520398902482,
0,Data compression and harmonic analysis,,"DL Donoho, M Vetterli, RA DeVore… - IEEE transactions on …, 1998",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/720544/,
0,Studies in harmonic analysis,,"NT Varopoulos - Mathematical Proceedings of the Cambridge …, 1964",cambridge,.org,https://www.cambridge.org/core/journals/mathematical-proceedings-of-the-cambridge-philosophical-society/article/studies-in-harmonic-analysis/F9B6E9221D58395CA7063081057749A4,
0,Numerical methods for harmonic analysis on the sphere,,OL Colombo,,1981,https://apps.dtic.mil/sti/citations/ADA104178,
0,Problems in harmonic analysis related to curvature,,"EM Stein, S Wainger - Bulletin of the American Mathematical …, 1978",projecteuclid,.org,https://projecteuclid.org/journalArticle/Download?urlId=bams%2F1183541467,
0,On the use of windows for harmonic analysis with the discrete Fourier transform,,"FJ Harris - Proceedings of the IEEE, 1978",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1455106/,
0,Harmonic analysis for resistance forms,,"J Kigami - Journal of Functional Analysis, 2003",Else,vier,https://www.sciencedirect.com/science/article/pii/S0022123602001490,
0,Harmonic analysis of the space BV,,"A Cohen, W Dahmen, I Daubechies… - Revista Matematica …, 2003",ems.p,ress,https://ems.press/journals/rmi/articles/4987,
0,Harmonic analysis of switching functions,,"RJ Lechner - Recent developments in switching theory, 1971",Else,vier,https://www.sciencedirect.com/science/article/pii/B9780125098502500105,
0,Operator theory and harmonic analysis,,"D Albrecht, X Duong, A McIntosh - … Analysis and Geometry, Part …, 1996",projecteuclid,.org,https://projecteuclid.org/ebook/Download?urlid=pcma/1416323534&isFullBook=false,
0,"Some results in harmonic analysis in Rn, for n—► oo",,"EM Stein - Bull. Amer. Math. Soc.(NS), 1983",projecteuclid,.org,https://projecteuclid.org/journalArticle/Download?urlId=bams%2F1183550976,
0,Harmonic analysis of the human face,,"KH Lu - Biometrics, 1965",J,STOR,https://www.jstor.org/stable/2528106,
0,An algorithm for harmonic analysis,,"D Temperley - Music Perception, 1997",online.ucpress,.edu,https://online.ucpress.edu/mp/article-abstract/15/1/31/61984,
0,Spherical cap harmonic analysis,,"GV Haines - Journal of Geophysical Research: Solid Earth, 1985",Wiley Online Lib,rary,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/JB090iB03p02583,
0,Harmonic analysis on semigroups,,"MG Cowling - Annals of Mathematics, 1983",J,STOR,https://www.jstor.org/stable/2007077,
0,Harmonic analysis on configuration space I: General theory,,"YG Kondratiev, T Kuna - … Analysis, Quantum Probability and …, 2002",World Scient,ific,https://www.worldscientific.com/doi/abs/10.1142/S0219025702000833,
0,Simultaneous statistical inference,,G Rupert Jr,,2012,https://books.google.com/books?hl=ko&lr=&id=4C7VBwAAQBAJ&oi=fnd&pg=PA1&ots=0tn54Od8Vv&sig=ifwNwxTprhEFcCBXCtogI7JkgJU,
0,Human auditory steady-state responses: Respuestas auditivas de estado estable en humanos,,"TW Picton, MS John, A Dimitrijevic… - International journal of …, 2003",Taylor & Fra,ncis,https://www.tandfonline.com/doi/abs/10.3109/14992020309101316,
0,Dispersion on a sphere,,"RA Fisher - Proceedings of the Royal Society of London …, 1953",royalsocietypublishing,.org,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.1953.0064,
0,Spectrum estimation and harmonic analysis,,"DJ Thomson - Proceedings of the IEEE, 1982",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1456701/,
0,The future of data analysis,,"JW Tukey - The annals of mathematical statistics, 1962",J,STOR,https://www.jstor.org/stable/2237638,
0,Detecting novel associations in large data sets,,"DN Reshef, YA Reshef, HK Finucane, SR Grossman… - science, 2011",science,.org,https://www.science.org/doi/abs/10.1126/science.1205438,
0,Nonparametric statistical data modeling,,"E Parzen - Journal of the American statistical association, 1979",Taylor & Fra,ncis,https://www.tandfonline.com/doi/abs/10.1080/01621459.1979.10481621,
0,Procedures for numerical analysis of circadian rhythms,,"R Refinetti, G Cornélissen, F Halberg - Biological rhythm research, 2007",Taylor & Fra,ncis,https://www.tandfonline.com/doi/abs/10.1080/09291010600903692,
0,Periodogram analysis and continuous spectra,,"MS Bartlett - Biometrika, 1950",J,STOR,https://www.jstor.org/stable/2332141,
0,"A spectral analysis of world GDP dynamics: Kondratieff waves, Kuznets swings, Juglar and Kitchin cycles in global economic development, and the 2008–2009 …",,"AV Korotayev, SV Tsirel - Structure and Dynamics, 2010",escholarship,.org,https://escholarship.org/uc/item/9jv108xp,
0,Extreme value time series,,"M Mudelsee - Climate Time Series Analysis, 2014",Spri,nger,https://link.springer.com/chapter/10.1007/978-3-319-04450-7_6,
0,"Why, when and how to adjust your P values?",,"M Jafari, N Ansari-Pour - Cell Journal (Yakhteh), 2019",ncbi.nlm.nih,.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6099145/,
0,Spacings,,"R Pyke - Journal of the Royal Statistical Society: Series B …, 1965",Wiley Online Lib,rary,https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.2517-6161.1965.tb00602.x,
0,The characterization of amino acid sequences in proteins by statistical methods,,"JM Zimmerman, N Eliezer, R Simha - Journal of theoretical biology, 1968",Else,vier,https://www.sciencedirect.com/science/article/pii/0022519368900696,
0,Genome-wide and phase-specific DNA-binding rhythms of BMAL1 control circadian output functions in mouse liver,,"G Rey, F Cesbron, J Rougemont, H Reinke… - PLoS …, 2011",journals.plos,.org,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000595,
0,On “field significance” and the false discovery rate,,"DS Wilks - Journal of applied meteorology and climatology, 2006",journals.ametsoc,.org,https://journals.ametsoc.org/view/journals/apme/45/9/jam2404.1.xml,
0,Soluble TNF-α receptor 1 and IL-6 plasma levels in humans subjected to the sleep deprivation model of spaceflight,,"WT Shearer, JM Reuben, JM Mullington… - Journal of allergy and …, 2001",Else,vier,https://www.sciencedirect.com/science/article/pii/S0091674901824210,
0,MetaCycle: an integrated R package to evaluate periodicity in large scale data,,"G Wu, RC Anafi, ME Hughes, K Kornacker… - …, 2016",academic.oup,.com,https://academic.oup.com/bioinformatics/article-abstract/32/21/3351/2415176,
0,SPECTRUM: Spectral analysis of unevenly spaced paleoclimatic time series,,"M Schulz, K Stattegger - Computers & Geosciences, 1997",Else,vier,https://www.sciencedirect.com/science/article/pii/S0098300497000873,
0,The Lomb-Scargle periodogram in biological rhythm research: analysis of incomplete and unequally spaced time-series,,"T Ruf - Biological Rhythm Research, 1999",Taylor & Fra,ncis,https://www.tandfonline.com/doi/abs/10.1076/brhm.30.2.178.1422,
0,Advanced spectral methods for climatic time series,,"M Ghil, MR Allen, MD Dettinger, K Ide… - Reviews of …, 2002",Wiley Online Lib,rary,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000RG000092,
0,Spectrum sensing for cognitive radio: State-of-the-art and recent advances,,"E Axell, G Leus, EG Larsson… - IEEE signal processing …, 2012",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/6179814/,
0,Cognitive radio: brain-empowered wireless communications,,"S Haykin - IEEE journal on selected areas in communications, 2005",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1391031/,
0,EEGLAB: an open source toolbox for analysis of single-trial EEG dynamics including independent component analysis,,"A Delorme, S Makeig - Journal of neuroscience methods, 2004",Else,vier,https://www.sciencedirect.com/science/article/pii/S0165027003003479,
0,A pervasive millennial-scale cycle in North Atlantic Holocene and glacial climates,,"G Bond, W Showers, M Cheseby, R Lotti, P Almasi… - science, 1997",science,.org,https://www.science.org/doi/abs/10.1126/science.278.5341.1257,
0,An astronomically dated record of Earth's climate and its predictability over the last 66 million years,,"T Westerhold, N Marwan, AJ Drury, D Liebrand… - Science, 2020",science,.org,https://www.science.org/doi/abs/10.1126/science.aba6853,
0,MNE software for processing MEG and EEG data,,"A Gramfort, M Luessi, E Larson, DA Engemann… - Neuroimage, 2014",Else,vier,https://www.sciencedirect.com/science/article/pii/S1053811913010501,
0,Enhanced detection of artifacts in EEG data using higher-order statistics and independent component analysis,,"A Delorme, T Sejnowski, S Makeig - Neuroimage, 2007",Else,vier,https://www.sciencedirect.com/science/article/pii/S1053811906011098,
0,"Singular-spectrum analysis: A toolkit for short, noisy chaotic signals",,"R Vautard, P Yiou, M Ghil - Physica D: Nonlinear Phenomena, 1992",Else,vier,https://www.sciencedirect.com/science/article/pii/016727899290103T,
0,"Singular spectrum analysis in nonlinear dynamics, with applications to paleoclimatic time series",,"R Vautard, M Ghil - Physica D: Nonlinear Phenomena, 1989",Else,vier,https://www.sciencedirect.com/science/article/pii/0167278989900778,
0,Thalamocortical dysrhythmia: a neurological and neuropsychiatric syndrome characterized by magnetoencephalography,,"RR Llinás, U Ribary, D Jeanmonod… - Proceedings of the …, 1999",National Acad Scie,nces,https://www.pnas.org/doi/abs/10.1073/pnas.96.26.15222,
0,Robust estimation of background noise and signal detection in climatic time series,,"ME Mann, JM Lees - Climatic change, 1996",Spri,nger,https://link.springer.com/article/10.1007/BF00142586,
0,Pupil fluctuations track rapid changes in adrenergic and cholinergic activity in cortex,,"J Reimer, MJ McGinley, Y Liu, C Rodenkirch… - Nature …, 2016",nature,.com,https://www.nature.com/articles/ncomms13289,
0,Analysis of dynamic brain imaging data,,"PP Mitra, B Pesaran - Biophysical journal, 1999",Else,vier,https://www.sciencedirect.com/science/article/pii/S000634959977236X,
0,Bispectrum estimation: A digital signal processing framework,,"CL Nikias, MR Raghuveer - Proceedings of the IEEE, 1987",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1458091/,
0,Theta rhythms coordinate hippocampal–prefrontal interactions in a spatial memory task,,"MW Jones, MA Wilson - PLoS biology, 2005",journals.plos,.org,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0030402,
0,Robust estimation of geomagnetic transfer functions,,"GD Egbert, JR Booker - Geophysical Journal International, 1986",academic.oup,.com,https://academic.oup.com/gji/article-abstract/87/1/173/729750,
0,Gamma and beta bursts underlie working memory,,"M Lundqvist, J Rose, P Herman, SL Brincat… - Neuron, 2016",Else,vier,https://www.sciencedirect.com/science/article/pii/S0896627316001458,
