,title,abstract,author,journal,year,pdf_link,keyword
0,An application of number theory to ergodic theory and the construction of uniquely ergodic models,Using a combinatorial result of N. Hindman one can extend Jewett’s method for proving that a weakly mixing measure preserving transformation has a uniquely ergodic model to the general ergodic case. We sketch a proof of this reviewing the main steps in Jewett’s argument.,"A. Bellow1,2 & H. Furstenberg1,",Israel Journal of Mathematics,1979,https://link.springer.com/article/10.1007/BF02762163,"Periodic Point,Topological Dynamic,Combinatorial Result,Initial Element,Uniquely Ergodic"
1,On a Connection of Number Theory with Graph Theory,"We assign to each positive integer n a digraph whose set of vertices is H = {0, 1, ..., n − 1} and for which there is a directed edge from a ∈ H to b ∈ H if a
2 ≡ b (mod n). We establish necessary and sufficient conditions for the existence of isolated fixed points. We also examine when the digraph is semiregular. Moreover, we present simple conditions for the number of components and length of cycles. Two new necessary and sufficient conditions for the compositeness of Fermat numbers are also introduced.",Lawrence Somer1 & Michal Křížek,Czechoslovak Mathematical Journal,2004,https://link.springer.com/article/10.1023/B%3ACMAJ.0000042385.93571.58,"Fermat numbers,Chinese remainder theorem,primality,group theory,digraphs"
2,Aspects of Number Theory in Terms of Potential Theory,"We develop the Potential Theory on the set N* of all natural numbers ≥2 associated with the kernel V (resp. V
*) given by

$$Vf(x) = \sum\limits_{\mathop {p{\text{ prime}}}\limits_{p|x} } {f(x/p)} ,{\text{ }}V* f(x) = \sum\limits_{p{\text{ prime}}} {f(xp).}$$

We study the extremal elements in the set of all V-supermedian (resp. V
*-supermedian) functions and the Martin boundary of the set N* associated with V and V
*.",Nicu Boboc1 & Gheorghe Bucur,Potential Analysis,2001,https://link.springer.com/article/10.1023/A%3A1026483916247,"Number thoery,potential theory,Martin boundary."
3,Multiple Exponential Sums with Monomials and Their Applications in Number Theory,"Fouvry and Iwaniec's method ([6], [11]) for exponential sums with monomials uses, in a crucial way, a spacing lemma for t(m, q) := (m + q)α − (m − q)α. By introducing a technique on integer points close to a family of curves, we are able to improve their result and to treat the spacing problem for u(m, n, q) := t(m, q)n
β. Finally we choose four classic arithmetic problems to illustrate our new results.",P. Sargos1 & J. Wu,Acta Mathematica Hungarica,2000,https://link.springer.com/article/10.1023/A%3A1006777803163,"Number Theory,Spacing Problem,Integer Point,Arithmetic Problem,Classic Arithmetic"
4,A certain mean value theorem in the number theory,A mean-value theorem for the sum of a “saw-tooth” function of a polynomial is proved. The estimate is exact relative to the main parameter which is the length of the interval of summation.,V. N. Chubarikov,Moscow University Mathematics Bulletin,2015,https://link.springer.com/article/10.3103/S0027132215050095,"Number Theory,Main Parameter"
5,Applications of the theory of modular forms to number theory,"The survey is devoted to arithmetic questions in the theory of modular forms and, in particular, to arithmetic applications of modular functions; mainly only elementary and analytic aspects of this topic, as a rule, for the case of a single variable are presented.",O. M. Fomenk,Journal of Soviet Mathematics,1980,https://link.springer.com/article/10.1007/BF01261429,"Number Theory,Modular Form,Single Variable,Modular Function,Analytic Aspect"
6,Number theory as the ultimate physical theory,"At the Planck scale doubt is cast on the usual notion of space-time and one cannot think about elementary particles. Thus, the fundamental entities of which we consider our Universe to be composed cannot be particles, fields or strings. In this paper the numbers are considered as the fundamental entities. We discuss the construction of the corresponding physical theory. A hypothesis on the quantum fluctuations of the number field is advanced for discussion. If these fluctuations actually take place then instead of the usual quantum mechanics over the complex number field a new quantum mechanics over an arbitrary field must be developed. Moreover, it is tempting to speculate that a principle of invariance of the fundamental physical laws under a change of the number field does hold. The fluctuations of the number field could appear on the Planck length, in particular in the gravitational collapse or near the cosmological singularity. These fluctuations can lead to the appearance of domains with non-Archimedean p-adic or finite geometry. We present a short review of the p-adic mathematics necessary, in this context.",Igor V. Volovich,"P-Adic Numbers, Ultrametric Analysis, and Applications",2010,https://link.springer.com/article/10.1134/S2070046610010061,"p-adic mathematical physics,quantum mechanics and field theory,string theory"
7,"Number theory, dimension theory, and the crisis of overproduction",We consider the relationship between probability theory and the economics of assets. We show that the notion of Bose condensate can be applied in economics.,V. P. Maslov,Mathematical Notes,2010,https://link.springer.com/article/10.1134/S0001434610090130,"Bose-Einstein distribution,Bose condensate,clusterization,degrees of freedom,Gibbs paradox"
8,"Number crunching vs. number theory: computers and FLT, from Kummer to SWAC (1850–1960), and beyond","The present article discusses the computational tools (both conceptual and material) used in various attempts to deal with individual cases of FLT, as well as the changing historical contexts in which these tools were developed and used, and affected research. It also explores the changing conceptions about the role of computations within the overall disciplinary picture of number theory, how they influenced research on the theorem, and the kinds of general insights thus achieved. After an overview of Kummer’s contributions and its immediate influence, I present work that favored intensive computations of particular cases of FLT as a legitimate, fruitful, and worth-pursuing number-theoretical endeavor, and that were part of a coherent and active, but essentially low-profile tradition within nineteenth century number theory. This work was related to table making activity that was encouraged by institutions and individuals whose motivations came mainly from applied mathematics, astronomy, and engineering, and seldom from number theory proper. A main section of the article is devoted to the fruitful collaboration between Harry S. Vandiver and Emma and Dick Lehmer. I show how their early work led to the hesitant introduction of electronic computers for research related with FLT. Their joint work became a milestone for computer-assisted activity in number theory at large.",Leo Corry,Archive for History of Exact Sciences,2008,https://link.springer.com/article/10.1007/s00407-007-0018-2,"Number Theory,Fermat,Prime Number,Dick,Class Number"
9,Contributions to the theory of imitative behavior: The number of political parties as determined by biological and social factors,"The theory of imitative behavior as applied tow mutually exclusive behavior patterns (N. Rashevsky,Mathematical Biology of Social Behavior, Rev. Ed., 1959; The University of Chicago Press) leads to the possibility of any numberw of different behavior patterns existing in a social group. Mutually inhibitory effects suppress the effectiveness of behavior of groups that are very small numerically. The manner in which the different biological and social parameters that enter into the theory of imitative behavior determine the number of different effective behaviors is discussed. The results are applied to the problem of what determines the number of political parties in different countries. This number is expected to increase with increasing spread of the distribution curves for the tendencies towards different behaviors, with decreasing imitation factors, and with increasing instability of psychophysical judgments of the average individuals.",N. Rashevsky,The bulletin of mathematical biophysics,1962,https://link.springer.com/article/10.1007/BF02477862,"Mathematical Biology,Political Party,Behavior Pattern,Biophysics Volume,Political Issue"
