,title,abstract,author,journal,year,pdf_link,keyword
0,Factorization of nonlinear supersymmetry in one-dimensional quantum mechanics. I: General classification of reducibility and analysis of the third-order algebra,We study possible factorizations of supersymmetric (SUSY) transformations in the one-dimensional quantum mechanics into chains of elementary Darboux transformations with nonsingular coefficients. A classification of irreducible (almost) isospectral transformations and of related SUSY algebras is presented. A detailed analysis of SUSY algebras and isospectral operators is performed for the third-order case. Bibliography: 29 titles.,A. A. Andrianov1 & A. V. Sokolov,Journal of Mathematical Sciences,2007,https://link.springer.com/article/10.1007/s10958-007-0158-6,"Canonical Basis,Darboux Transformation,Jordan Form,Parametric Formula,Identical Zero"
1,Coquelicot: A User-Friendly Library of Real Analysis for Coq,"Real analysis is pervasive to many applications, if only because it is a suitable tool for modeling physical or socio-economical systems. As such, its support is warranted in proof assistants, so that the users have a way to formally verify mathematical theorems and correctness of critical systems. The Coq system comes with an axiomatization of standard real numbers and a library of theorems on real analysis. Unfortunately, this standard library is lacking some widely used results. For instance, power series are not developed further than their definition. Moreover, the definitions of integrals and derivatives are based on dependent types, which make them especially cumbersome to use in practice. To palliate these inadequacies, we have designed a user-friendly library: Coquelicot. An easier way of writing formulas and theorem statements is achieved by relying on total functions in place of dependent types for limits, derivatives, integrals, power series, and so on. To help with the proof process, the library comes with a comprehensive set of theorems that cover not only these notions, but also some extensions such as parametric integrals, two-dimensional differentiability, asymptotic behaviors. It also offers some automation for performing differentiability proofs. Moreover, Coquelicot is a conservative extension of Coq’s standard library and we provide correspondence theorems between the two libraries. We have exercised the library on several use cases: in an exam at university entry level, for the definitions and properties of Bessel functions, and for the solution of the one-dimensional wave equation.","Sylvie Boldo1, Catherine Lelay1 & Guillaume Melquiond",Mathematics in Computer Science,2015,https://link.springer.com/article/10.1007/s11786-014-0181-1,"Standard real analysis,Coq proof assistant,Library,Generalized limits,Differentiability,Parametric integrals,Power series"
2,Hardness measures for gridworld benchmarks and performance analysis of real-time heuristic search algorithms,"Gridworlds are one of the most popular settings used in benchmark problems for real-time heuristic search algorithms. However, no comprehensive studies have been published so far on how the difference in the density of randomly positioned obstacles affects the hardness of the problems. This paper presents two measures for characterizing the hardness of gridworld problems parameterized by obstacle ratio, and relates them to the performance of the algorithms. We empirically show that the peak locations of those measures and actual performance degradation of the basic algorithms (RTA* and LRTA*) almost coincide with each other for a wide variety of problem settings. Thus the measures uncover some interesting aspects of the gridworlds.",Masataka Mizusawa1 & Masahito Kurihara,Journal of Heuristics,2010,https://link.springer.com/article/10.1007/s10732-008-9084-0,"Real-time search,Gridworlds,Benchmark,Phase transition"
3,Local real analysis in locally homogeneous spaces,"We introduce the concept of locally homogeneous space, and prove in this context L
p and C
α estimates for singular and fractional integrals, as well as L
p estimates on the commutator of a singular or fractional integral with a BMO or VMO function. These results are motivated by local a priori estimates for subelliptic equations.",Marco Bramanti1 & Maochun Zhu,Manuscripta Mathematica,2012,https://link.springer.com/article/10.1007/s00229-011-0501-6,"Primary 42B20,Secondary 47B47"
4,Cosine families and semigroups really differ,"We reveal three surprising properties of cosine families, distinguishing them from semigroups of operators: (1) A single trajectory of a cosine family is either strongly continuous or not measurable. (2) Pointwise convergence of a sequence of equibounded cosine families implies that the convergence is almost uniform for time in the entire real line; in particular, cosine families cannot be perturbed in a singular way. (3) A non-constant trajectory of a bounded cosine family does not have a limit at infinity; in particular, the rich theory of asymptotic behaviour of semigroups does not have a counterpart for cosine families. In addition, we show that equibounded cosine families that converge strongly and almost uniformly in time may fail to converge uniformly.","Adam Bobrowski1 & Wojciech Chojnacki2,",Journal of Evolution Equations,2013,https://link.springer.com/article/10.1007/s00028-013-0208-0,"Primary 47D09,34G10,Secondary 60J65"
5,Brouwer’s Fan Theorem as an axiom and as a contrast to Kleene’s alternative,"The paper is a contribution to intuitionistic reverse mathematics. We introduce a formal system called Basic Intuitionistic Mathematics
BIM, and then search for statements that are, over BIM, equivalent to Brouwer’s Fan Theorem or to its positive denial, Kleene’s Alternative to the Fan Theorem. The Fan Theorem is true under the intended intuitionistic interpretation and Kleene’s Alternative is true in the model of BIM consisting of the Turing-computable functions. The task of finding equivalents of Kleene’s Alternative is, intuitionistically, a nontrivial extension of the task of finding equivalents of the Fan Theorem, although there is a certain symmetry in the arguments that we shall try to make transparent. We introduce closed-and-separable subsets of Baire space \({\mathcal{N}}\) and of the set \({\mathcal{R}}\) of the real numbers. Such sets may be compact and also positively noncompact. The Fan Theorem is the statement that Cantor space \({\mathcal{C}}\), or, equivalently, the unit interval [0, 1], is compact and Kleene’s Alternative is the statement that \({\mathcal{C}}\), or, equivalently, [0, 1], is positively noncompact. The class of the compact closed-and-separable sets and also the class of the closed-and-separable sets that are positively noncompact are characterized in many different ways and a host of equivalents of both the Fan Theorem and Kleene’s Alternative is found.",Wim Veldman,Archive for Mathematical Logic,2014,https://link.springer.com/article/10.1007/s00153-014-0384-9,"Intuitionistic reverse mathematics,Fan Theorem,Weak König’s Lemma"
6,Balls and quasi-metrics: A space of homogeneous type modeling the real analysis related to the Monge-Ampère equation,"We prove that having a quasi-metric on a given set X is essentially equivalent to have a family of subsets S(x, r) of X for which y∈S(x, r) implies both S(y, r)⊂S(x, Kr) and S(x, r)⊂S(y, Kr) for some constant K. As an application, starting from the Monge-Ampère setting introduced in [3], we get a space of homogeneous type modeling the real analysis for such an equation.","H. Aimar, L. Forzani & R. Toledan",Journal of Fourier Analysis and Applications,1998,https://link.springer.com/article/10.1007/BF02498215,"Primary 35J60, 42B20,secondary 35B45, 42B25"
7,A Logic Based Approach to Finding Real Singularities of Implicit Ordinary Differential Equations,"We discuss the effective computation of geometric singularities of implicit ordinary differential equations over the real numbers using methods from logic. Via the Vessiot theory of differential equations, geometric singularities can be characterised as points where the behaviour of a certain linear system of equations changes. These points can be discovered using a specifically adapted parametric generalisation of Gaussian elimination combined with heuristic simplification techniques and real quantifier elimination methods. We demonstrate the relevance and applicability of our approach with computational experiments using a prototypical implementation in Reduce.","Werner M. Seiler1, Matthias Seiß1 & Thomas Sturm2,",Mathematics in Computer Science,2021,https://link.springer.com/article/10.1007/s11786-020-00485-x,"Implicit differential equations,Geometric singularities,Vessiot distribution,Real algebraic computations,Logic computation"
8,The elementary computable functions over the real numbers: applying two new techniques,"The basic motivation behind this work is to tie together various computational complexity classes, whether over different domains such as the naturals or the reals, or whether defined in different manners, via function algebras (Real Recursive Functions) or via Turing Machines (Computable Analysis). We provide general tools for investigating these issues, using two techniques we call approximation and lifting. We use these methods to obtain two main theorems. First, we provide an alternative proof of the result from Campagnolo et al. (J Complex 18:977–1000, 2002), which precisely relates the Kalmar elementary computable functions to a function algebra over the reals. Second, we build on that result to extend a result of Bournez and Hainry (Theor Comput Sci 348(2–3):130–147, 2005), which provided a function algebra for the \({\mathcal{C}}^2\)
real elementary computable functions; our result does not require the restriction to \({\mathcal{C}}^2\) functions. In addition to the extension, we provide an alternative approach to the proof. Their proof involves simulating the operation of a Turing Machine using a function algebra. We avoid this simulation, using a technique we call lifting, which allows us to lift the classic result regarding the elementary computable functions to a result on the reals. The two new techniques bring a different perspective to these problems, and furthermore appear more easily applicable to other problems of this sort.","Manuel L. Campagnolo1,2 & Kerry Ojakian2,",Archive for Mathematical Logic,2008,https://link.springer.com/article/10.1007/s00153-007-0059-x,"Computable analysis,Real recursive functions,Elementary computable"
9,When was ptolemy's star catalogue in ‘Almagest’ compiled in reality? Statistical analysis,"This work is devoted to describing new statistical and geometrical procedures for dating ancient star catalogues considering numerical data contained in these catalogues and the known real configurations of stars on the celestial sphere. The method was tested on several star catalogues whose dates are well known (Tycho Brahe, etc.) and on several artificially generated star catalogues. Then the same method was applied to the Almagest. The results obtained do not confirm the traditional dating of the Almagest (2nd century AD or 2nd century BC) but shift its dating to the Arabian epoch: 600–1300 AD.","A. T. Fomenko1, V. V. Kalashnikov2 & G. V. Nosovsky",Acta Applicandae Mathematica,1989,https://link.springer.com/article/10.1007/BF00047071,"01A35,51F99,62J99"
